PERIODO_ACADEMICO,E_PRGM_ACADEMICO,E_PRGM_DEPARTAMENTO,E_VALORMATRICULAUNIVERSIDAD,E_HORASSEMANATRABAJA,F_ESTRATOVIVIENDA,F_TIENEINTERNET,F_EDUCACIONPADRE,F_TIENELAVADORA,F_TIENEAUTOMOVIL,E_PRIVADO_LIBERTAD,E_PAGOMATRICULAPROPIO,F_TIENECOMPUTADOR,F_EDUCACIONMADRE,RENDIMIENTO_GLOBAL,INDICADOR_1,INDICADOR_2,INDICADOR_3,INDICADOR_4
1970-01-01 00:00:00.000020212,300,4,5.0,1,3.0,1,5.0,1,1,0.0,0,1,9.0,2,0.322,0.208,0.31,0.267
1970-01-01 00:00:00.000020212,249,3,3.0,0,3.0,0,6.0,1,0,0.0,0,1,5.0,0,0.311,0.215,0.292,0.264
1970-01-01 00:00:00.000020203,819,4,3.0,4,3.0,1,4.0,1,0,0.0,0,0,4.0,0,0.297,0.214,0.305,0.264
1970-01-01 00:00:00.000020195,14,26,4.0,0,4.0,1,4.0,1,0,0.0,0,1,4.0,3,0.485,0.172,0.252,0.19
1970-01-01 00:00:00.000020212,907,1,3.0,3,3.0,1,2.0,1,1,0.0,0,1,2.0,1,0.316,0.232,0.285,0.294
1970-01-01 00:00:00.000020203,811,1,6.0,1,5.0,1,8.0,1,1,0.0,0,1,4.0,2,0.553,0.142,0.248,0.175
1970-01-01 00:00:00.000020183,455,16,3.0,3,2.0,1,7.0,1,1,0.0,1,1,6.0,3,0.242,0.299,0.267,0.308
1970-01-01 00:00:00.000020183,94,4,2.0,2,2.0,1,1.0,1,0,0.0,1,0,3.0,1,0.238,0.316,0.286,0.29
1970-01-01 00:00:00.000020212,452,3,5.0,1,1.0,1,4.0,1,1,0.0,1,1,7.0,1,0.147,0.407,0.212,0.328
1970-01-01 00:00:00.000020183,14,1,3.0,4,5.0,1,9.0,1,1,0.0,1,1,9.0,3,0.535,0.122,0.257,0.167
1970-01-01 00:00:00.000020203,907,27,2.0,2,1.0,1,6.0,1,0,0.0,0,1,3.0,0,0.151,0.399,0.241,0.292
1970-01-01 00:00:00.000020203,97,4,1.0,4,2.0,1,7.0,1,0,0.0,0,1,9.0,1,0.212,0.284,0.283,0.324
1970-01-01 00:00:00.000020183,362,4,3.0,4,3.0,1,4.0,1,1,0.0,0,1,2.0,1,0.285,0.249,0.278,0.289
1970-01-01 00:00:00.000020195,581,8,0.0,0,1.0,0,6.0,0,0,0.0,0,0,4.0,1,0.142,0.395,0.219,0.287
1970-01-01 00:00:00.000020195,773,14,1.0,2,3.0,1,4.0,1,0,0.0,1,1,3.0,1,0.293,0.239,0.303,0.266
1970-01-01 00:00:00.000020203,249,4,4.0,2,3.0,1,8.0,1,1,0.0,0,1,8.0,3,0.293,0.252,0.319,0.258
1970-01-01 00:00:00.000020203,194,5,4.0,2,1.0,1,2.0,0,0,0.0,0,1,1.0,2,0.154,0.379,0.225,0.282
1970-01-01 00:00:00.000020203,94,4,2.0,4,2.0,1,4.0,0,0,0.0,0,1,3.0,1,0.209,0.307,0.26,0.314
1970-01-01 00:00:00.000020183,154,1,0.0,4,1.0,0,1.0,0,0,0.0,1,1,1.0,3,0.153,0.388,0.217,0.287
1970-01-01 00:00:00.000020212,888,4,2.0,1,2.0,1,4.0,1,0,0.0,1,1,3.0,0,0.204,0.3,0.293,0.295
1970-01-01 00:00:00.000020203,800,28,2.0,1,2.0,1,7.0,1,0,0.0,0,1,7.0,3,0.213,0.3,0.265,0.301
1970-01-01 00:00:00.000020195,456,29,5.0,4,2.534134663675629,1,4.0,1,0,0.0,0,1,4.0,1,0.029,0.037,0.048,0.026
1970-01-01 00:00:00.000020203,943,29,2.0,2,1.0,0,1.0,0,0,0.0,1,0,2.0,0,0.137,0.407,0.215,0.304
1970-01-01 00:00:00.000020183,570,23,1.0,4,2.0,1,4.0,0,0,0.0,0,1,5.0,2,0.203,0.312,0.279,0.289
1970-01-01 00:00:00.000020195,452,4,5.0,3,2.0,1,4.0,1,0,0.0,0,1,4.0,1,0.202,0.29,0.289,0.307
1970-01-01 00:00:00.000020183,452,24,0.0,4,3.0,1,3.0,1,0,0.0,1,1,3.0,1,0.284,0.251,0.279,0.283
1970-01-01 00:00:00.000020195,249,5,3.0,4,2.534134663675629,1,4.0,1,0,0.0,0,1,4.0,1,0.017,0.034,0.023,0.023
1970-01-01 00:00:00.000020212,452,4,3.0,4,3.0,1,9.0,1,1,0.0,0,1,8.0,2,0.301,0.234,0.317,0.287
1970-01-01 00:00:00.000020183,384,1,5.0,4,3.0,1,3.0,1,1,0.0,0,1,3.0,2,0.312,0.229,0.302,0.248
1970-01-01 00:00:00.000020203,233,1,2.0,2,2.0,0,1.0,1,0,0.0,1,1,1.0,1,0.246,0.272,0.302,0.289
1970-01-01 00:00:00.000020203,48,4,2.0,4,2.0,1,2.0,1,0,0.0,1,1,4.0,1,0.213,0.307,0.304,0.32
1970-01-01 00:00:00.000020203,80,4,2.0,1,3.0,1,4.0,1,1,0.0,1,1,3.0,2,0.314,0.249,0.286,0.28
1970-01-01 00:00:00.000020212,249,27,3.0,0,2.0,1,7.0,1,0,0.0,0,1,6.0,2,0.22,0.286,0.266,0.302
1970-01-01 00:00:00.000020183,304,4,3.0,3,3.0,1,8.0,1,1,0.0,0,1,9.0,1,0.293,0.217,0.28,0.286
1970-01-01 00:00:00.000020183,568,4,1.0,2,4.0,1,1.0,1,1,0.0,1,0,4.0,3,0.449,0.164,0.258,0.195
1970-01-01 00:00:00.000020212,372,1,6.0,2,3.0,1,4.0,1,1,0.0,0,1,9.0,3,0.305,0.219,0.306,0.278
1970-01-01 00:00:00.000020183,947,24,3.0,1,4.0,1,8.0,1,1,0.0,0,1,8.0,0,0.441,0.176,0.271,0.198
1970-01-01 00:00:00.000020195,188,1,1.0,0,2.0,1,1.0,1,0,0.0,0,1,3.0,2,0.23,0.276,0.258,0.319
1970-01-01 00:00:00.000020183,614,13,0.0,0,2.0,1,4.0,1,0,0.0,0,1,4.0,3,0.245,0.284,0.27,0.294
1970-01-01 00:00:00.000020212,196,19,2.0,0,2.0,1,4.0,1,0,0.0,0,1,4.0,1,0.199,0.318,0.275,0.316
1970-01-01 00:00:00.000020203,931,28,2.0,3,4.0,1,6.0,1,0,0.0,1,1,8.0,0,0.439,0.166,0.247,0.222
1970-01-01 00:00:00.000020183,907,4,4.0,2,3.0,1,4.0,1,1,0.0,1,1,6.0,2,0.307,0.247,0.311,0.287
1970-01-01 00:00:00.000020212,810,4,6.0,4,2.0,1,0.0,1,0,0.0,1,1,5.0,2,0.199,0.284,0.298,0.311
1970-01-01 00:00:00.000020203,29,13,3.0,3,1.0,0,4.0,1,0,0.0,0,0,4.0,1,0.164,0.4,0.217,0.283
1970-01-01 00:00:00.000020203,229,4,4.0,4,2.0,1,1.0,1,0,0.0,1,1,1.0,2,0.226,0.281,0.301,0.277
1970-01-01 00:00:00.000020203,844,26,5.0,4,3.0,1,8.0,1,1,0.0,0,1,8.0,2,0.294,0.206,0.272,0.253
1970-01-01 00:00:00.000020183,384,16,3.0,0,2.0,0,1.0,1,0,0.0,1,1,1.0,3,0.203,0.292,0.294,0.282
1970-01-01 00:00:00.000020212,249,1,3.0,4,3.0,1,6.0,1,0,0.0,0,1,3.0,0,0.32,0.234,0.301,0.256
1970-01-01 00:00:00.000020195,456,4,4.0,4,3.0,1,4.0,1,0,0.0,1,1,6.0,0,0.307,0.244,0.313,0.273
1970-01-01 00:00:00.000020195,581,4,2.0,4,2.534134663675629,1,4.0,1,0,0.0,1,1,4.0,0,0.01,0.015,0.03,0.012
1970-01-01 00:00:00.000020203,773,17,1.0,1,1.0,0,1.0,0,0,0.0,1,0,1.0,0,0.14,0.424,0.246,0.296
1970-01-01 00:00:00.000020203,281,4,3.0,0,5.0,1,6.0,1,0,0.0,0,1,8.0,0,0.573,0.117,0.236,0.144
1970-01-01 00:00:00.000020203,295,4,6.0,0,4.0,1,9.0,1,1,0.0,0,1,8.0,3,0.465,0.18,0.262,0.209
1970-01-01 00:00:00.000020203,943,6,3.0,3,2.0,1,3.0,1,0,0.0,1,1,1.0,2,0.207,0.29,0.277,0.293
1970-01-01 00:00:00.000020183,398,4,2.0,4,2.0,1,4.0,1,0,0.0,1,1,5.0,2,0.225,0.293,0.257,0.322
1970-01-01 00:00:00.000020195,384,28,3.0,3,2.534134663675629,1,5.0,1,0,0.0,0,1,3.0,1,0.017,0.048,0.028,0.029
1970-01-01 00:00:00.000020195,80,4,2.0,4,2.0,1,4.0,1,0,0.0,1,1,1.0,1,0.205,0.291,0.304,0.323
1970-01-01 00:00:00.000020183,907,29,4.0,3,5.0,1,9.0,1,1,0.0,0,1,9.0,1,0.557,0.132,0.234,0.176
1970-01-01 00:00:00.000020212,943,29,2.0,4,2.534134663675629,1,4.0,1,0,0.0,0,1,4.0,0,0.007,0.033,0.037,0.048
1970-01-01 00:00:00.000020203,236,4,3.0,3,3.0,1,3.0,1,1,0.0,1,1,6.0,3,0.287,0.252,0.287,0.265
1970-01-01 00:00:00.000020212,402,4,0.0,4,2.0,1,0.0,1,0,0.0,0,1,4.0,3,0.242,0.272,0.268,0.299
1970-01-01 00:00:00.000020183,249,4,6.0,2,3.0,1,5.0,1,0,0.0,0,1,9.0,2,0.284,0.241,0.298,0.251
1970-01-01 00:00:00.000020212,118,4,2.0,4,2.534134663675629,1,5.0,1,0,0.0,1,1,4.0,1,0.028,0.049,0.015,0.006
1970-01-01 00:00:00.000020212,717,4,3.0,4,2.0,1,4.0,1,0,0.0,1,1,4.0,2,0.236,0.3,0.284,0.289
1970-01-01 00:00:00.000020183,384,16,3.0,3,2.0,1,8.0,1,1,0.0,0,1,9.0,2,0.23,0.307,0.294,0.285
1970-01-01 00:00:00.000020203,14,1,1.0,3,2.0,1,2.0,1,0,0.0,0,1,8.0,3,0.24,0.29,0.29,0.278
1970-01-01 00:00:00.000020195,233,4,3.0,3,2.0,1,1.0,1,0,0.0,1,1,6.0,2,0.198,0.293,0.274,0.311
1970-01-01 00:00:00.000020195,50,5,0.0,4,2.534134663675629,1,2.0,1,0,0.0,1,1,2.0,1,0.03,0.043,0.008,0.045
1970-01-01 00:00:00.000020183,8,28,4.0,2,3.0,1,8.0,1,0,0.0,0,1,9.0,1,0.314,0.253,0.307,0.253
1970-01-01 00:00:00.000020212,907,4,2.0,1,1.0,1,2.0,1,1,0.0,0,1,0.0,0,0.17,0.407,0.252,0.326
1970-01-01 00:00:00.000020203,418,29,2.0,4,4.0,1,4.0,1,1,0.0,1,1,5.0,2,0.48,0.17,0.25,0.227
1970-01-01 00:00:00.000020203,300,29,3.0,0,2.0,1,0.0,0,0,0.0,0,1,6.0,2,0.205,0.291,0.277,0.325
1970-01-01 00:00:00.000020203,907,20,3.0,1,1.0,1,3.0,0,0,0.0,0,1,9.0,2,0.176,0.412,0.25,0.293
1970-01-01 00:00:00.000020212,452,4,3.0,4,2.0,1,5.0,1,0,0.0,1,1,5.0,1,0.247,0.295,0.283,0.291
1970-01-01 00:00:00.000020203,236,4,2.0,4,1.0,1,4.0,1,0,0.0,1,1,3.0,2,0.129,0.42,0.254,0.288
1970-01-01 00:00:00.000020203,520,4,2.0,4,3.0,1,6.0,1,1,0.0,0,1,3.0,3,0.29,0.246,0.307,0.264
1970-01-01 00:00:00.000020183,236,4,2.0,3,3.0,1,3.0,1,1,0.0,0,1,3.0,2,0.328,0.213,0.281,0.281
1970-01-01 00:00:00.000020203,908,4,2.0,1,3.0,1,2.0,1,1,0.0,1,1,2.0,0,0.294,0.21,0.285,0.268
1970-01-01 00:00:00.000020203,380,4,6.0,3,3.0,1,4.0,1,1,0.0,0,1,4.0,3,0.325,0.24,0.299,0.258
1970-01-01 00:00:00.000020212,907,3,4.0,0,2.0,1,3.0,1,1,0.0,1,1,3.0,0,0.231,0.302,0.301,0.305
1970-01-01 00:00:00.000020183,67,4,1.0,0,3.0,0,1.0,1,0,0.0,1,1,6.0,1,0.316,0.245,0.301,0.286
1970-01-01 00:00:00.000020195,300,14,6.0,4,2.0,1,0.0,1,0,0.0,0,1,6.0,3,0.214,0.28,0.284,0.291
1970-01-01 00:00:00.000020203,844,23,5.0,2,2.0,1,7.0,1,0,0.0,0,1,3.0,1,0.201,0.276,0.273,0.324
1970-01-01 00:00:00.000020183,229,4,3.0,4,2.0,1,6.0,1,0,0.0,1,1,6.0,1,0.222,0.281,0.284,0.322
1970-01-01 00:00:00.000020203,501,5,3.0,3,3.0,1,5.0,1,1,0.0,0,1,5.0,0,0.291,0.223,0.285,0.256
1970-01-01 00:00:00.000020203,943,29,2.0,1,1.0,1,8.0,0,0,0.0,0,1,7.0,2,0.141,0.392,0.226,0.316
1970-01-01 00:00:00.000020203,94,4,2.0,4,2.0,0,1.0,0,0,0.0,0,0,1.0,0,0.226,0.305,0.294,0.295
1970-01-01 00:00:00.000020195,597,27,2.0,2,2.0,0,1.0,1,0,0.0,1,1,1.0,0,0.246,0.32,0.281,0.298
1970-01-01 00:00:00.000020183,229,4,2.0,4,2.0,1,3.0,0,0,0.0,1,1,4.0,1,0.237,0.294,0.279,0.318
1970-01-01 00:00:00.000020195,300,4,5.0,2,3.0,1,0.0,1,0,0.0,0,1,8.0,1,0.288,0.228,0.283,0.261
1970-01-01 00:00:00.000020195,943,29,3.0,0,2.0,0,4.0,0,0,0.0,0,1,8.0,1,0.222,0.279,0.258,0.294
1970-01-01 00:00:00.000020212,80,4,2.0,4,3.0,1,1.0,1,0,0.0,1,0,2.0,2,0.291,0.229,0.32,0.295
1970-01-01 00:00:00.000020195,810,4,6.0,0,4.0,1,9.0,1,1,0.0,0,1,9.0,2,0.439,0.17,0.258,0.18
1970-01-01 00:00:00.000020203,229,14,4.0,4,2.0,1,4.0,1,1,0.0,0,1,4.0,2,0.215,0.319,0.303,0.307
1970-01-01 00:00:00.000020183,384,4,6.0,0,4.0,1,4.0,1,1,0.0,0,1,6.0,3,0.482,0.16,0.29,0.211
1970-01-01 00:00:00.000020195,692,4,2.0,2,1.0,1,1.0,1,0,0.0,1,1,2.0,1,0.162,0.394,0.242,0.302
1970-01-01 00:00:00.000020203,733,27,2.0,4,3.0,1,1.0,1,1,0.0,1,1,4.0,3,0.312,0.252,0.303,0.278
1970-01-01 00:00:00.000020212,249,29,3.0,2,4.0,1,5.0,1,1,0.0,1,1,8.0,0,0.478,0.181,0.266,0.191
1970-01-01 00:00:00.000020195,773,29,1.0,4,4.0,1,5.0,1,1,0.0,1,1,7.0,3,0.473,0.162,0.271,0.211
1970-01-01 00:00:00.000020212,638,4,2.0,1,3.0,1,4.0,1,0,0.0,1,1,6.0,1,0.329,0.219,0.312,0.276
